policy,metric,model,n,mean,sd,median,ci_low,ci_high
P6,raw_fidelity,gemma3:1b,18,0.05555555555555555,0.23570226039551584,0.0,0.0,0.16666666666666666
P6,raw_fidelity,gemma3:270m,18,0.05555555555555555,0.23570226039551584,0.0,0.0,0.16666666666666666
P6,raw_fidelity,llama3.1:8b,18,0.1111111111111111,0.3233808333817773,0.0,0.0,0.2777777777777778
P6,raw_fidelity,qwen3.5:4b,18,0.1111111111111111,0.3233808333817773,0.0,0.0,0.2777777777777778
P6,projected_fidelity,gemma3:1b,18,0.05555555555555555,0.23570226039551584,0.0,0.0,0.16666666666666666
P6,projected_fidelity,gemma3:270m,18,0.05555555555555555,0.23570226039551584,0.0,0.0,0.16666666666666666
P6,projected_fidelity,llama3.1:8b,18,0.1111111111111111,0.3233808333817773,0.0,0.0,0.2777777777777778
P6,projected_fidelity,qwen3.5:4b,18,0.1111111111111111,0.3233808333817773,0.0,0.0,0.2777777777777778
P6,top3_overlap,gemma3:1b,18,0.27777777777777773,0.2858309752375147,0.3333333333333333,0.14814814814814814,0.4074074074074074
P6,top3_overlap,gemma3:270m,18,0.2222222222222222,0.22866478019001177,0.3333333333333333,0.12962962962962962,0.33333333333333326
P6,top3_overlap,llama3.1:8b,18,0.33333333333333326,0.22866478019001177,0.3333333333333333,0.2222222222222222,0.44444444444444436
P6,top3_overlap,qwen3.5:4b,18,0.2037037037037037,0.20256166297139522,0.3333333333333333,0.1111111111111111,0.2962962962962962
P6,allocation_l1_to_reference,gemma3:1b,18,1.1795477212963519,0.3827810724184685,1.2149421370805322,1.0024689551345305,1.3508408572318562
P6,allocation_l1_to_reference,gemma3:270m,18,1.237803803522258,0.23556366161403997,1.2905592129057077,1.1315389672243894,1.3394350210545098
P6,allocation_l1_to_reference,llama3.1:8b,18,0.9939400191059623,0.24734682050443663,0.9882503166662986,0.8801547192350253,1.1043005710729195
P6,allocation_l1_to_reference,qwen3.5:4b,18,0.9559597134882605,0.1902989057025741,0.924379282863551,0.8749760080076295,1.0454867602825106
P6,projection_l1,gemma3:1b,18,1.5635701163591649e-16,1.0137024597114567e-16,1.121336096893133e-16,1.1193190291014047e-16,2.0199341512217484e-16
P6,projection_l1,gemma3:270m,18,1.846757700466951e-16,9.840798651885502e-17,1.8821749714347753e-16,1.4062764745131238e-16,2.262880517612297e-16
P6,projection_l1,llama3.1:8b,18,1.296223930660437e-16,9.129997376206233e-17,1.1796119636642288e-16,8.784206001477536e-17,1.7169907471112658e-16
P6,projection_l1,qwen3.5:4b,18,1.3328458707088376e-16,6.953228831417518e-17,1.0408340855860803e-16,1.0465683104094438e-16,1.651866336617295e-16
P6,ew_l1_distance,gemma3:1b,18,0.8335178701445781,0.31778405891693834,0.9089102146308571,0.6759081091348613,0.9581286361501747
P6,ew_l1_distance,gemma3:270m,18,0.6035977426421474,0.3894386593347635,0.7213592665604085,0.4186591927657632,0.7748397491769421
P6,ew_l1_distance,llama3.1:8b,18,0.8227992859539768,0.2366593509947302,0.7351097178683386,0.7239786223575374,0.938963744281421
P6,ew_l1_distance,qwen3.5:4b,18,0.5746106114819204,0.07470319019477438,0.5878135078902342,0.5385260518027518,0.6080459304256227
