strategy,JSON_valid_rate,Repair_rate,Parse_fail_rate,Avg_projection_L1,Avg_projection_L2,Cap_clip_freq,Turnover_clip_freq,Avg_entropy,Avg_herfindahl,Equal_collapse_rate,Neg_weight_per_step,Over_cap_per_step,Hallucinated_ticker_per_call,Missing_asset_per_call,Invalid_weight_per_call,Negative_weight_per_call,Equal_fallback_rate,Avg_latency_sec,n_calls,n_steps,strategy_key,fold
SharpeWeightedStrategy,,,,0.0045559156983864205,0.0023315641916902777,0.014285714285714285,0.24285714285714285,2.298467183366642,0.1486817718138477,0.0,0.0,0.014285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0,70,SHARPE,4
CodedPersonaStrategy,,,,0.0007449132764113578,0.000381221522999302,0.057692307692307696,0.23076923076923078,1.9571557067982446,0.3378392785577027,0.0,0.0,0.057692307692307696,0.0,0.0,0.0,0.0,0.0,0.0,0,52,CODED_P1,4
CodedPersonaStrategy,,,,0.0025207954688141634,0.0012900582097565417,0.15384615384615385,0.0,1.8953263029043315,0.3660481698260941,0.0,0.0,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0,52,CODED_P2,4
CodedPersonaStrategy,,,,0.0010281832589223334,0.0005261895583027681,0.038461538461538464,0.3076923076923077,2.016794029535026,0.31707580672688734,0.0,0.0,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0,52,CODED_P3,4
CodedPersonaStrategy,,,,1.2903673855919789e-16,2.775606751348211e-17,0.0,0.0,3.0905476159252276,0.04550024342737873,0.6730769230769231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,52,CODED_P4,4
CodedPersonaStrategy,,,,0.00537530762700191,0.0027509013801278437,0.014285714285714285,0.24285714285714285,2.389433926533456,0.13414136182948747,0.0,0.0,0.014285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0,70,CODED_P5,4
LLMStrategy,1.0,0.0,0.0,0.001470159189748222,0.0007523779520581011,0.2571428571428571,0.22857142857142856,2.020889576363081,0.32076168983719205,0.04285714285714286,0.0,0.2571428571428571,0.0,0.16666666666666666,0.0,0.0,0.0,17.98373887044727,18,70,NLPI[llama3.1:8b|P1],4
LLMStrategy,1.0,0.0,0.0,0.033042444751146115,0.016910010212647875,0.37142857142857144,0.02857142857142857,1.8532878833789506,0.3677819217634051,0.0,0.0,0.37142857142857144,0.0,4.277777777777778,0.0,0.0,0.0,15.977448483722078,18,70,NLPI[llama3.1:8b|P2],4
LLMStrategy,1.0,0.0,0.0,0.009078752055548167,0.004646199490795601,0.38571428571428573,0.05714285714285714,1.8971389555651517,0.3621362252919816,0.0,0.0,0.38571428571428573,0.0,0.5,0.0,0.0,0.0,18.258684018387513,18,70,NLPI[llama3.1:8b|P3],4
LLMStrategy,1.0,0.0,0.0,9.585586292968986e-17,2.0618793010015284e-17,0.0,0.0,3.090674859836592,0.045488492520078735,0.7571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,1.0,19.791032113332122,18,70,NLPI[llama3.1:8b|P4],4
