Fold,Strategy,Sharpe,Sortino,CAGR,Vol,MDD,TO
3,NLPI[llama3.1:8b|P2],1.5905285925353299,2.60576392324815,0.034511476124204465,0.021478397826502064,-0.026459822805283695,0.0047301575536231565
3,NLPI[llama3.1:8b|P3],0.48219558740392426,0.7794958651139675,0.04087791839422139,0.09183238964693476,-0.15148402383985116,0.0044152496042222595
3,NLPI[llama3.1:8b|P4],1.3749872081232528,2.2320038034977165,0.07749730485822082,0.05540859848819675,-0.09129939985587121,0.004714381471045442
3,NLPI[llama3.1:8b|P5],1.3749872081232528,2.2320038034977165,0.07749730485822082,0.05540859848819675,-0.09129939985587121,0.004714381471045442
3,NLPI[gemma3:270m|P1],0.9587824022502129,1.5985341906950403,0.08726370011219386,0.09165166363809332,-0.13919942492681137,0.005701987000159042
3,NLPI[gemma3:270m|P2],1.7359936926652948,2.858875184537663,0.04096684888089208,0.023285775570594663,-0.03032561561420366,0.002693101266033094
3,NLPI[gemma3:270m|P3],1.3062649608698804,2.281805481557779,0.0596007160646026,0.045101334561768576,-0.05782377046893794,0.0035184100644977843
3,NLPI[gemma3:270m|P4],1.3749872081232528,2.2320038034977165,0.07749730485822082,0.05540859848819675,-0.09129939985587121,0.004714381471045442
3,NLPI[gemma3:270m|P5],1.3749872081232528,2.2320038034977165,0.07749730485822082,0.05540859848819675,-0.09129939985587121,0.004714381471045442
3,NLPI[gemma3:1b|P1],0.9587824022502129,1.5985341906950403,0.08726370011219386,0.09165166363809332,-0.13919942492681137,0.005701987000159042
3,NLPI[gemma3:1b|P2],1.7359936926652948,2.858875184537663,0.04096684888089208,0.023285775570594663,-0.03032561561420366,0.002693101266033094
3,NLPI[gemma3:1b|P3],1.650154901754125,2.8918431884215337,0.044794921563425794,0.02677466426995037,-0.027379077224581883,0.006560025032584437
3,NLPI[gemma3:1b|P4],1.3749872081232528,2.2320038034977165,0.07749730485822082,0.05540859848819675,-0.09129939985587121,0.004714381471045442
3,NLPI[gemma3:1b|P5],1.3749872081232528,2.2320038034977165,0.07749730485822082,0.05540859848819675,-0.09129939985587121,0.004714381471045442
4,EQUAL,0.26816561668901057,0.39408140542342296,0.02504983361175306,0.11863573362973164,-0.18776959509898716,0.007643546666920147
4,RiskParity,0.15967634049174836,0.23173400915929115,0.00948914911645149,0.07849962885386755,-0.14599514306962358,0.007466853179136005
4,MVP,0.21416956420438618,0.32013859319782023,0.007176257838489075,0.036498264658747684,-0.0705888746173392,0.00778415714867837
4,MOM6,0.28836359250402516,0.41298312346340943,0.03478131040385257,0.1680867867976243,-0.2792859120021701,0.012332773915578585
4,SHARPE,0.40319326012822665,0.5895451488737885,0.04627559769428591,0.13491170539024142,-0.21579217074551382,0.012704071119789549
4,CODED_P1,0.5809499884996437,0.8859425646383647,0.088835731381951,0.17212857794707256,-0.21000891180216075,0.011624081325631292
4,CODED_P2,0.32239193456290355,0.47626275412680913,0.014629751622970977,0.0487392373014024,-0.07841645867594282,0.004620989425660336
4,CODED_P3,0.19300648771454781,0.3023363711398526,0.015636505702415926,0.11417719317717878,-0.2321296579136496,0.012462878703829694
4,CODED_P4,0.26816561668901057,0.39408140542342296,0.02504983361175306,0.11863573362973164,-0.18776959509898716,0.007643546666920147
4,CODED_P5,0.46144016561743184,0.6789071122091389,0.05495833356202673,0.13616953866104167,-0.217345221586836,0.012802540134686777
4,NLPI[llama3.1:8b|P1],0.49086394050062876,0.7523937356085302,0.08324406800011541,0.20668413944555958,-0.24966662750450852,0.014060254954058238
4,NLPI[llama3.1:8b|P2],0.284011080189345,0.43668321406320953,0.011028123900011844,0.041675096715821536,-0.07465979625735386,0.00689411666816232
4,NLPI[llama3.1:8b|P3],0.6585830668486897,0.9766240133408985,0.09726827527173332,0.16069118400921564,-0.2648812921268415,0.008204063413635394
4,NLPI[llama3.1:8b|P4],0.26816561668901057,0.39408140542342296,0.02504983361175306,0.11863573362973164,-0.18776959509898716,0.007643546666920147
4,NLPI[llama3.1:8b|P5],0.26816561668901057,0.39408140542342296,0.02504983361175306,0.11863573362973164,-0.18776959509898716,0.007643546666920147
4,NLPI[gemma3:270m|P1],0.3894843612523013,0.6203665008164194,0.06493980796553522,0.22933453445473703,-0.28234894032797764,0.009407185977832386
